Result,Exit_Velocity,Launch_Angle,Distance,Direction,Pitch,Pitch_Type
field_out,97.3,-8,16,Pull,90.3,4-Seam Fastball
field_out,99.1,-6,21,Pull,85.5,Slider
field_out,87.1,-15,8,Pull,93.3,4-Seam Fastball
home_run,96.4,28,383,Pull,93.3,4-Seam Fastball
double,103.3,25,388,Opposite,94.5,4-Seam Fastball
field_out,108.4,6,134,Straightaway,91.5,4-Seam Fastball
single,92.5,17,231,Pull,92.3,4-Seam Fastball
field_out,97.1,22,310,Pull,93.3,4-Seam Fastball
home_run,105,22,403,Straightaway,74.9,Changeup
double,97.9,24,296,Pull,68.1,Curveball
field_out,96.4,52,264,Straightaway,69.1,Curveball
field_out,99.7,-3,28,Pull,91.4,Sinker
field_out,95.1,39,328,Straightaway,80.9,Slider
single,83,-4,17,Opposite,84,Slider
single,73.3,0,33,Straightaway,95.1,4-Seam Fastball
field_out,96.1,28,343,Opposite,94.9,2-Seam Fastball
field_out,79.3,-3,28,Straightaway,94.9,2-Seam Fastball
field_out,75.2,-5,19,Straightaway,96.8,2-Seam Fastball
field_out,102.9,15,302,Straightaway,97.6,2-Seam Fastball
field_out,99.7,-25,3,Straightaway,97.8,2-Seam Fastball
field_out,93.1,21,295,Opposite,83.3,Slider
single,90.6,2,58,Straightaway,85.3,Slider
field_out,104.8,21,364,Straightaway,94.6,2-Seam Fastball
single,66.8,18,147,Pull,95.5,2-Seam Fastball
single,101.7,16,286,Pull,83.1,4-Seam Fastball
home_run,100.1,34,372,Pull,93.3,4-Seam Fastball
field_out,75,-46,2,Pull,91.5,Cutter
field_out,87.6,30,309,Opposite,91.2,4-Seam Fastball
field_out,105,-2,29,Opposite,88.3,Sinker
single,99.4,13,207,Pull,89.9,4-Seam Fastball
field_out,102.7,-4,19,Straightaway,84.7,Slider
field_out,76.5,33,263,Straightaway,84,Cutter
single,90.9,11,156,Pull,81.2,Slider
field_out,86,31,335,Straightaway,91.3,4-Seam Fastball
field_out,70.2,-5,18,Pull,85.1,Changeup
field_out,87.2,24,283,Opposite,75.3,Curveball
home_run,106.8,29,418,Straightaway,89.6,4-Seam Fastball
field_out,104.5,6,104,Pull,91.2,4-Seam Fastball
field_out,100.5,37,357,Opposite,92.9,4-Seam Fastball
field_out,66.6,-16,6,Pull,85,4-Seam Fastball
field_out,80.6,50,235,Opposite,90.4,4-Seam Fastball
double,106.5,23,371,Opposite,94.8,4-Seam Fastball
single,87.3,16,233,Opposite,95.4,4-Seam Fastball
